url,title,fetched_at
https://nooho.net/2019/10/DPPfraud26935/,震撼彈！蘇嘉全妻退出民進黨  以無黨籍身份參選立委,2019-10-31-04:00:54
https://nooho.net/2019/10/DPPfraud26775/,韓支持度大贏蔡兩倍 網讚真民調！,2019-10-31-04:00:55
https://nooho.net/2018/06/DPPfraud10739/,外食費連連喊漲，就連平價的全家夯番薯也跟著漲價！,2019-10-31-04:00:57
https://nooho.net/2017/06/DPPfraud280/,阿扁認帳影片剪輯,2019-10-31-04:00:59
https://nooho.net/2019/09/DPPfraud25737/,(影)看完蔡英文高雄拜廟影片 韓粉又笑翻了,2019-10-31-04:01:00
https://nooho.net/2019/10/DPPfraud26915/,你下載了嗎？30歲年輕人研發挺韓APP  「一支穿雲箭」庶民千里來相見   		 突破同溫層 挺韓APP開發者:全民看綠真面目！ 新聞大白話 20191025,2019-10-31-04:01:02
https://nooho.net/2019/10/DPPfraud26756/,林佳龍遭舉發「公然違法兼職」,2019-10-31-04:01:04
https://nooho.net/2019/10/DPPfraud26979/,(影)校慶扯下國旗升彩虹旗  國旗用丟的   學生：我們沒有做錯，不會為此道歉,2019-10-31-04:01:06
https://nooho.net/2019/09/DPPfraud26027/,普悠瑪事故司機尤振仲首出面 暴哭證據憑空消失「基層的悲哀」,2019-10-31-04:01:07
https://nooho.net/2019/09/DPPfraud25260/,民進黨拿冰冷數據騙選票？一圖讓網崩潰喊六字！！！,2019-10-31-04:01:09
https://nooho.net/2018/05/DPPfraud9490/,辜寬敏: 天下已經是我們的了 國民黨完蛋了！  網怒：權力的傲慢！年底用選票教訓民主詐騙黨,2019-10-31-04:01:11
https://nooho.net/2018/09/DPPfraud14468/,嘉縣村里長658人登記 0人掛民進黨籍  地方村長直言：綠營不滿聲真的很大！,2019-10-31-04:01:13
https://nooho.net/2019/10/DPPfraud27000/,花600億！準備在屏東將綠色森林夷為平地！？  蓋台灣最大太陽能電廠？,2019-10-31-04:01:15
https://nooho.net/2019/10/DPPfraud26984/,(影)高雄市副市長葉匡時宣布 高雄解除本土登革熱警戒,2019-10-31-04:01:17
https://nooho.net/2019/10/DPPfraud26957/,苦民所苦勝過小英 韓國瑜：民心比民調重要,2019-10-31-04:01:23
https://nooho.net/2019/10/DPPfraud26973/,夜市抵用券第二波再發400多萬張 學者批撒5億綁選票   		 首波發580萬張 回收不到1成 針對夜市補助 擺明拉攏攤商 相對陸客銳減損失 杯水車薪,2019-10-31-04:01:26
https://nooho.net/2019/10/DPPfraud26976/,(影)香港動亂導致百業蕭條 多家外資企業撤離 近300餐飲店倒閉   		 香港七十歲婆婆 訴說她對反送中運動的感受 香港暴民無差別襲擊平民🔥票投民進黨，台灣變香港🔥影片彙整👊🏻Hong Kong【趴客】,2019-10-31-04:01:28
https://nooho.net/2017/07/DPPfraud546/,民進黨上任後的武林絕學：萬物齊漲(掌),2019-10-31-04:01:39
https://nooho.net/2017/07/DPPfraud639/,台南新化找到「三千具」1915年日本警斬殺台灣人的枯骨！,2019-10-31-04:01:40
https://nooho.net/2017/07/DPPfraud823/,(影片)「聽不見人民的聲音」蔡政府對自己執政神準預言,2019-10-31-04:01:41
https://nooho.net/2017/12/DPPfraud5006/,(影)唐湘龍：民進黨認賊作父在先，忘恩負義在後…自從有了民進以後，台灣沒有一件好事情,2019-10-31-04:01:43
https://nooho.net/2018/01/DPPfraud5732/,高金素梅怒嗆民進黨日本殖民時期就記載，曾對原住民以及漢族同胞大屠殺，你們這些政治菁英難道都不看書的嗎？,2019-10-31-04:01:44
https://nooho.net/2018/04/DPPfraud8205/,李敖大師揭破謊言！鄭南榕「是拒捕」，「不是要自焚」！,2019-10-31-04:01:46
https://nooho.net/2019/09/DPPfraud25258/,網友整理蔡英文91條政績 1450全安靜了,2019-10-31-04:01:48
https://nooho.net/2019/10/DPPfraud26910/,(影)蔡民調高卻少這一樣 議員：最終勝利者絕對是韓,2019-10-31-04:02:06
https://nooho.net/2019/10/DPPfraud26936/,衛福部公布最新貧窮線 台東 屏東 彰化 貧戶占比前3名,2019-10-31-04:02:07
https://nooho.net/2019/10/DPPfraud26956/,看完小英拜廟正妹韓粉趕赴龍介場 氣氛差很大!,2019-10-31-04:02:09
https://nooho.net/2019/10/DPPfraud26928/,54隻「肥貓」名單完整曝光！國民黨推出「酬庸王」撲克牌,2019-10-31-04:02:10
https://nooho.net/2019/10/DPPfraud26921/,大法官釋憲鬆綁 各級學生權利受侵害可提行政訴訟,2019-10-31-04:02:12
https://nooho.net/2019/10/DPPfraud26924/,(影)反送中衝擊 香港逾200餐廳倒閉 情況比SARS嚴重   		 香港七十歲婆婆 訴說她對反送中運動的感受 香港暴民無差別襲擊平民🔥票投民進黨，台灣變香港🔥影片彙整👊🏻Hong Kong【趴客】,2019-10-31-04:02:14
https://nooho.net/2019/10/DPPfraud26890/,(影)農委會租飛機比買斷還貴10億 藍委痛批把「政府效率差」當成多花納稅錢的藉口,2019-10-31-04:02:17
https://nooho.net/2019/10/DPPfraud26893/,(影)徐國勇9月見管浩鳴稱當時不知他為「北京政協」 台灣官員真好騙？,2019-10-31-04:02:18
https://nooho.net/2017/06/DPPfraud314/,髮夾彎：2010年蔡英文ECFA是糖衣毒藥  2017年林全用ECFA跟對岸建立好關係,2019-10-31-04:02:20
